MiniDOT Logger Concatenated Data File
Sensor:             7450-192798
Concatenation Date: 2024Sep27 10:58:34 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1718917260,           2024-06-20 21:01:00,           2024-06-20 15:01:00,      3.410000,     14.488000,          8.524000,                    83.598394,      0.972000
                1718917860,           2024-06-20 21:11:00,           2024-06-20 15:11:00,      3.430000,     14.825000,          8.497000,                    83.945654,      0.973000
                1718918460,           2024-06-20 21:21:00,           2024-06-20 15:21:00,      3.440000,     14.988000,          8.596000,                    85.223544,      0.975000
                1718919060,           2024-06-20 21:31:00,           2024-06-20 15:31:00,      3.440000,     15.066000,          8.587000,                    85.277717,      0.975000
                1718919660,           2024-06-20 21:41:00,           2024-06-20 15:41:00,      3.440000,     15.427000,          8.511000,                    85.181411,      0.974000
                1718920260,           2024-06-20 21:51:00,           2024-06-20 15:51:00,      3.450000,     15.401000,          8.520000,                    85.223979,      0.974000
                1718920860,           2024-06-20 22:01:00,           2024-06-20 16:01:00,      3.450000,     15.470000,          8.506000,                    85.209823,      0.974000
                1718921460,           2024-06-20 22:11:00,           2024-06-20 16:11:00,      3.450000,     15.512000,          8.499000,                    85.216281,      0.974000
                1718922060,           2024-06-20 22:21:00,           2024-06-20 16:21:00,      3.460000,     15.401000,          8.509000,                    85.113948,      0.973000
                1718922660,           2024-06-20 22:31:00,           2024-06-20 16:31:00,      3.460000,     15.358000,          8.494000,                    84.885586,      0.973000
                1718923260,           2024-06-20 22:41:00,           2024-06-20 16:41:00,      3.460000,     15.341000,          8.500000,                    84.914566,      0.973000
                1718923860,           2024-06-20 22:51:00,           2024-06-20 16:51:00,      3.460000,     15.461000,          8.497000,                    85.103260,      0.974000
                1718924460,           2024-06-20 23:01:00,           2024-06-20 17:01:00,      3.470000,     15.358000,          8.492000,                    84.865599,      0.973000
                1718925060,           2024-06-20 23:11:00,           2024-06-20 17:11:00,      3.470000,     15.100000,          8.552000,                    84.992400,      0.973000
                1718925660,           2024-06-20 23:21:00,           2024-06-20 17:21:00,      3.470000,     15.555000,          8.493000,                    85.234484,      0.973000
                1718926260,           2024-06-20 23:31:00,           2024-06-20 17:31:00,      3.480000,     15.778000,          8.495000,                    85.661280,      0.973000
                1718926860,           2024-06-20 23:41:00,           2024-06-20 17:41:00,      3.470000,     15.427000,          8.508000,                    85.151386,      0.973000
                1718927460,           2024-06-20 23:51:00,           2024-06-20 17:51:00,      3.470000,     14.522000,          8.542000,                    83.836963,      0.973000
                1718928060,           2024-06-21 00:01:00,           2024-06-20 18:01:00,      3.480000,     14.306000,          8.556000,                    83.579777,      0.974000
                1718928660,           2024-06-21 00:11:00,           2024-06-20 18:11:00,      3.480000,     14.158000,          8.609000,                    83.825692,      0.974000
                1718929260,           2024-06-21 00:21:00,           2024-06-20 18:21:00,      3.480000,     14.098000,          8.609000,                    83.715548,      0.974000
