MiniDOT Logger Concatenated Data File
Sensor:             7450-274906
Concatenation Date: 2024Aug30 12:33:41 MDT

DO concentration compensated for salinity: 0.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,        Mountain Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1718916000,           2024-06-20 20:40:00,           2024-06-20 14:40:00,      3.440000,     15.940000,          7.963000,                    80.573930,      0.944000
                1718916600,           2024-06-20 20:50:00,           2024-06-20 14:50:00,      3.460000,     14.765000,          8.271000,                    81.606760,      0.946000
                1718917200,           2024-06-20 21:00:00,           2024-06-20 15:00:00,      3.460000,     14.627000,          8.301000,                    81.657860,      0.948000
                1718917800,           2024-06-20 21:10:00,           2024-06-20 15:10:00,      3.460000,     14.368000,          8.350000,                    81.677951,      0.949000
                1718918400,           2024-06-20 21:20:00,           2024-06-20 15:20:00,      3.460000,     14.420000,          8.383000,                    82.093815,      0.949000
                1718919000,           2024-06-20 21:30:00,           2024-06-20 15:30:00,      3.460000,     14.420000,          8.355000,                    81.819614,      0.949000
                1718919600,           2024-06-20 21:40:00,           2024-06-20 15:40:00,      3.470000,     14.696000,          8.321000,                    81.977327,      0.949000
                1718920200,           2024-06-20 21:50:00,           2024-06-20 15:50:00,      3.470000,     14.825000,          8.308000,                    82.078439,      0.949000
                1718920800,           2024-06-20 22:00:00,           2024-06-20 16:00:00,      3.470000,     14.989000,          8.377000,                    83.054100,      0.950000
                1718921400,           2024-06-20 22:10:00,           2024-06-20 16:10:00,      3.470000,     15.401000,          8.298000,                    83.003354,      0.950000
                1718922000,           2024-06-20 22:20:00,           2024-06-20 16:20:00,      3.470000,     15.555000,          8.242000,                    82.715485,      0.949000
                1718922600,           2024-06-20 22:30:00,           2024-06-20 16:30:00,      3.470000,     15.470000,          8.249000,                    82.635297,      0.949000
                1718923200,           2024-06-20 22:40:00,           2024-06-20 16:40:00,      3.470000,     15.521000,          8.265000,                    82.886010,      0.949000
                1718923800,           2024-06-20 22:50:00,           2024-06-20 16:50:00,      3.470000,     15.581000,          8.250000,                    82.841805,      0.949000
                1718924400,           2024-06-20 23:00:00,           2024-06-20 17:00:00,      3.470000,     15.547000,          8.266000,                    82.942155,      0.949000
                1718925000,           2024-06-20 23:10:00,           2024-06-20 17:10:00,      3.480000,     15.538000,          8.240000,                    82.665354,      0.948000
                1718925600,           2024-06-20 23:20:00,           2024-06-20 17:20:00,      3.480000,     15.444000,          8.274000,                    82.839592,      0.949000
                1718926200,           2024-06-20 23:30:00,           2024-06-20 17:30:00,      3.480000,     15.555000,          8.273000,                    83.026597,      0.949000
                1718926800,           2024-06-20 23:40:00,           2024-06-20 17:40:00,      3.480000,     15.572000,          8.269000,                    83.016621,      0.949000
                1718927400,           2024-06-20 23:50:00,           2024-06-20 17:50:00,      3.480000,     15.547000,          8.266000,                    82.942155,      0.949000
                1718928000,           2024-06-21 00:00:00,           2024-06-20 18:00:00,      3.480000,     15.478000,          8.284000,                    83.000130,      0.949000
                1718928600,           2024-06-21 00:10:00,           2024-06-20 18:10:00,      3.480000,     15.435000,          8.284000,                    82.923721,      0.949000
                1718929200,           2024-06-21 00:20:00,           2024-06-20 18:20:00,      3.490000,     15.350000,          8.294000,                    82.872641,      0.949000
                1718929800,           2024-06-21 00:30:00,           2024-06-20 18:30:00,      3.490000,     15.332000,          8.289000,                    82.790693,      0.949000
                1718930400,           2024-06-21 00:40:00,           2024-06-20 18:40:00,      3.490000,     15.264000,          8.302000,                    82.799526,      0.949000
                1718931000,           2024-06-21 00:50:00,           2024-06-20 18:50:00,      3.490000,     15.255000,          8.298000,                    82.743626,      0.949000
                1718931600,           2024-06-21 01:00:00,           2024-06-20 19:00:00,      3.490000,     15.221000,          8.291000,                    82.613416,      0.949000
                1718932200,           2024-06-21 01:10:00,           2024-06-20 19:10:00,      3.490000,     15.118000,          8.321000,                    82.728730,      0.949000
                1718932800,           2024-06-21 01:20:00,           2024-06-20 19:20:00,      3.490000,     14.627000,          8.404000,                    82.671082,      0.949000
                1718933400,           2024-06-21 01:30:00,           2024-06-20 19:30:00,      3.490000,     14.151000,          8.502000,                    82.771143,      0.950000
                1718934000,           2024-06-21 01:40:00,           2024-06-20 19:40:00,      3.500000,     13.777000,          8.433000,                    81.427375,      0.949000
                1718934600,           2024-06-21 01:50:00,           2024-06-20 19:50:00,      3.500000,     13.908000,          8.545000,                    82.747203,      0.950000
                1718935200,           2024-06-21 02:00:00,           2024-06-20 20:00:00,      3.500000,     13.891000,          8.439000,                    81.690172,      0.950000
                1718935800,           2024-06-21 02:10:00,           2024-06-20 20:10:00,      3.500000,     14.903000,          8.394000,                    83.068148,      0.950000
                1718936400,           2024-06-21 02:20:00,           2024-06-20 20:20:00,      3.500000,     15.075000,          8.351000,                    82.950089,      0.950000
                1718937000,           2024-06-21 02:30:00,           2024-06-20 20:30:00,      3.500000,     15.032000,          8.348000,                    82.843427,      0.949000
                1718937600,           2024-06-21 02:40:00,           2024-06-20 20:40:00,      3.500000,     14.722000,          8.363000,                    82.437593,      0.949000
                1718938200,           2024-06-21 02:50:00,           2024-06-20 20:50:00,      3.500000,     14.635000,          8.362000,                    82.272221,      0.949000
                1718938800,           2024-06-21 03:00:00,           2024-06-20 21:00:00,      3.500000,     14.168000,          8.414000,                    81.944925,      0.949000
                1718939400,           2024-06-21 03:10:00,           2024-06-20 21:10:00,      3.500000,     13.873000,          8.417000,                    81.444941,      0.950000
                1718940000,           2024-06-21 03:20:00,           2024-06-20 21:20:00,      3.500000,     13.821000,          8.424000,                    81.419389,      0.950000
                1718940600,           2024-06-21 03:30:00,           2024-06-20 21:30:00,      3.500000,     13.716000,          8.373000,                    80.739309,      0.950000
                1718941200,           2024-06-21 03:40:00,           2024-06-20 21:40:00,      3.500000,     13.533000,          8.416000,                    80.826308,      0.950000
                1718941800,           2024-06-21 03:50:00,           2024-06-20 21:50:00,      3.500000,     13.481000,          8.415000,                    80.723666,      0.950000
                1718942400,           2024-06-21 04:00:00,           2024-06-20 22:00:00,      3.500000,     13.341000,          8.445000,                    80.760186,      0.950000
                1718943000,           2024-06-21 04:10:00,           2024-06-20 22:10:00,      3.500000,     13.341000,          8.444000,                    80.750622,      0.950000
                1718943600,           2024-06-21 04:20:00,           2024-06-20 22:20:00,      3.500000,     13.306000,          8.446000,                    80.706951,      0.951000
                1718944200,           2024-06-21 04:30:00,           2024-06-20 22:30:00,      3.500000,     13.577000,          8.397000,                    80.722408,      0.950000
                1718944800,           2024-06-21 04:40:00,           2024-06-20 22:40:00,      3.500000,     13.455000,          8.426000,                    80.782616,      0.950000
